site_ID,label,title,variant _Akkadian,type,sub_type,title_source,t-s_pages,URUK_relations,URUK_probability,place_terms,determinatives,language,lanuage_prop,proper_nouns,p-n_type,p-n_type_prop,variant_modern,notes,LOC_details,LOC-1,LOC-1_probability,LOC-2,LOC-3,LOC-4,LOC-5,ccode,CDLI,Pleiades
M7243,WBUR,Nāru-ša-Bēlti-ša-Uruk ,Í[D šá] {d}GAŠAN ša [UNUG.KI],vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,162,URUK Region,,Nar(u),d,Iso639-3.sil.org/code/akk,,Bēlti-ša-Uruk,Divine,,,,Not far from LOC-1 ,M4874,Possible,,,,,IQ,,
M1667,GBLT,Til-Bēltu,KÁ šá {garim}DU{6}-{d}GAŠAN,,,ZadokGeographicalNamesAccording1985,309,***,,Til,garim; d,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Bēltu,Divine,,,,Not far from LOC-1 ,M7433,,,,,,IQ,,
M5324,SBBL,Bīt-Bēltu,{garim}É-{d}GAŠAN; ta-me!-<er>-tu{4} É-{d}GAŠAN,,,ZadokGeographicalNamesAccording1985,84,Near URUK,,Bit,garim; d,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Bēltu,Divine,,,Multiple Iterations,Mentioned After LOC-1,M5806,,,,,,IQ,,
M4534,ASSB,Aššūrītu-ša-Bulluṭâ, --none--,,,ZadokGeographicalNamesAccording1985,504,***,,,***,Iso639-3.sil.org/code/akk,Possible,Bulluṭâ,Personal,,,,Near LOC-1; Adjacent to LOC-2; Text Connecton To LOC-3,M6535,,M5380,M6535,,,IQ,,
M5879,WDKR,Ḫarri-Bīt-Dakkūri,ḫar-ri-É-dak-ku-ri,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,749-750,***,,Ḫarru,***,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Dakkūri,Personal,,,,"In LOC-1, LOC-2; South of LOC-3 ",M4981,,M5454,M4838,,,IQ,,
M9965,SDBD,Dūru-ša-Bīt-Dakūri,{uru}BÀD šá É-{m}da-ku-ru(!); {uru}BÀD šá {g[ar]im(?)}É-d[a]-ku-[r]u; BÀD šá É-da-ku-ru; BÀD{i} šá É-{m}d[a-ku-ru]; BÀD šá É-d[a(?)-ku(?)-ru(?)],vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,126,North of URUK,,Dur,uru; m; garim; i,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Dakkūri,Personal,,,,"In LOC-1; Not far from LOC-2, LOC-3",M5454,,M1853,M2802,,,IQ,,
M8363,SDHH,Duḫaḫu,{uru}du-ḫa-ḫu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,120,Not far from URUK,,,uru,Iso639-3.sil.org/code/sem,,***,,,,,In LOC-1,M4029,,,,,,IQ,,
M9688,SDUL,Du'īl,{uru}du-'-i-il,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,120,Mentioned in URUK Text,,,uru,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M5454,BDKR,Bīt-Dakūru,{uru}É-{m}da-ku-ru; pi-ḫat {uru}É-da-ku-ru; {uru}É-da-kur; É-{uru}da-ku-ru; {kur}É-{m}da-ku-ru; É-{m}da-ku-ru; {lú}TIL.LA.GÍD.DA{meš} šá {uru} É-{m}da-ku-ri; {lú}šak-nu {lú}ki-zu-ú{meš} šá {uru}É-{m}da-ku-ri; É-{m}da-ku-ri; É-{m}da-kur; É-{m}d[a-kur/ku-ru/ri]; DUMU-{m}da-ku-ru; PN DUMU-{m}da-ku-ru; PN A-{m}da-ku-ru; {lú}DUMU-{m}da-ku-ri; {lú}(copy LUGAL)DUMU-{m}da-ku-ri; NAM  É-{m}da-ku-ru; NUMUN... É-{m}da-ku-ru; URU{meš}  šá É-{m}da-ku-ru; {lú}ERÍN{meš} šá É-da-ku-ru; ERÍN{meš} šá É-{m}da-ku-ri; PN {lú}GAR{nu} šá A-{m}da-ku-ri; [...-{m}]da-ku-ru] ,vocab.getty.edu/page/aat/300261086,vocab.getty.edu/page/aat/300135982,ZadokGeographicalNamesAccording1985,85-86,***,,Bit,uru; m; kur; lú; meš,Iso639-3.sil.org/code/sem,,Dakūru,Personal,,,"LOC-1 is specifically a ""region""; Chaldean Territory; See M9965",In Southern LOC-1,M8809,,M9965,,,,IQ,,
M8268,SDUR,Dūru,É.AMAŠ.KÙ.GA É-{d}NIN.GAL be-let gi-mi-ir e-li-ti su-pu-ru e-el-li šá qé-er-ba {uru}BÀD{ki}; BÀD{ki}; {lú}BÀD{ki},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,125,Near URUK,Probable,Dur,d; uru; ki; lú,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,***,,,,Possibly be Tall al-Laḫam or Umm-al-Wawīya,Between URUK & LOC-1,M4746,Probable,,,,,IQ,,
M7571,WDNQ,Nār-Danqat (?),I{7}-dam{a[n}-qa-at(?)],vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,369,Near URUK,,Nar(u),an,Iso639-3.sil.org/code/akk,,Danqat,Personal,,,Flowed near the Wall,,,,,,,,IQ,,
M3295,GTDQ,Til-Daqalu,DU{6}-{garim}da-qa-lu{4},,,ZadokGeographicalNamesAccording1985,309,Mentioned in URUK Text,,Til,garim,Iso639-3.sil.org/code/sem,,Daqalu,Place,,,Perhaps Identical to Daqala,"Mentioned with LOC-1, LOC-2; Connected to LOC-3; ",M3097,,M4960,M4029,,,IQ,,
M2233,GTBD,Tamertu-ša-Bīt-Dērāja,GARIM šá É-de-ra-a-a; É-{m}de-ra-a-a,,,ZadokGeographicalNamesAccording1985,303-304,Not far from URUK,,Tamertu,m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Dērāja,Personal,,,,In LOC-1,M7555,Possible,,,,,IQ,,
M4170,BDER,Bīt-Dērāyi, --none--,vocab.getty.edu/page/aat/300261086,,ZadokGeographicalNamesAccording1985,"505, 509",Near URUK,,Bit,***,Iso639-3.sil.org/code/sem,Possible,Dērāyi,Personal,,,,,,,,,,,IQ,,
M7099,WNLP,Nār eleppēti,ÍD {giš}MÁ.MEŠ,vocab.getty.edu/page/aat/300261086,,ZadokGeographicalNamesAccording1985,153,Outside URUK,,Nar(u),giš,Iso639-3.sil.org/code/akk,Possible,Eleppēti,Appellative,,,OUTSIDE City Walls,West of LOC-1,M1853,,,,,,IQ,,
M8157,CDSD,Dūru-ša-x-dana-[ ],A.ŠÀ šá BÀD šá {m}UNCLEAR-da-na(?)-{d}[x]-[…],vocab.getty.edu/page/aat/300004790,,ZadokGeographicalNamesAccording1985,127,URUK Region,,Dur,m; d,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,Possible,***,,,,,On LOC-1,M6779,,,,,,IQ,,
M8754,SEKL,Ekallāti,ŠE.NUMUN šá i-na {uru}e-kal-la-ti NÌ.GA {d}INNIN UNU{ki} u {d}na-na-a; {giš}ma-ši-ḫu šá {d}GAŠAN šá UNU{ki} AŠ {uru}e-kal-la-ti,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,130,Near URUK,Probable,,uru; d; ki; giš,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,***,,,,,Document Issued in LOC-1,M5619,,,,,,IQ,,
M1843,SERD,Eridu,{uru}NUN{ki}; NUN{ki}; {d}é-a ša NUN{ki},vocab.getty.edu/page/aat/300008347,vocab.getty.edu/page/aat/300008389,ZadokGeographicalNamesAccording1985,133,***,,,uru; ki; d,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,***,,,Tall Abī Šahrāin; تل أبو شهرين,Bagg 2020 says Walled City; 15 km SoutWest of LOC-2,In LOC-1; Southwest of LOC-2 ,M9539,,M5688,,,,IQ,,
M2484,SGRM,Giramu,{uru}gi-ra-mu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,141,Not far from URUK,Perhaps,,uru,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M3102,GGZT,Gizzēti,{garim}gi-iz-ze-e-t[i],vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,141,Near URUK,,,garim,Iso639-3.sil.org/code/sem,,***,,,,Possibly AKA Dūr-gizzēti,On LOC-1 ,M4884,,,,,,IQ,,
M3154,WNGM,Nār-Gamadē,I{7}-ga-ma-de-e,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,370,URUK Region,Probable,Nar(u),***,Iso639-3.sil.org/code/sem,,Gamadē,Appellative,,,RIGHT Bank Tributary,Tributary of LOC-1,M6517,Probable,,,,,IQ,,
M1366,SHLB,Ḫanlibbi,{uru}ḫa-an-lib-bi; ḫa-an-lib-bi,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,151,Near URUK,Probable,,uru,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M8804,CDSG,Dūru-ša-Gidānu,{uru}BÀD šá gi-da-nu; BÀD šá {m}gi-da-nu; BÀD šá gi-da-a-nu (?),vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,126,URUK Region,,Dur,uru; m; ,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Gidānu,Personal,,,"RIGHT Bank of LOC-1; LOC-4 is ""Possible""","On Bank of LOC-1, not far from LOC-2, LOC-3; in LOC-4",M1853,,M9607,M2769,M4029,,IQ,,
M1398,SHPS,Ḫapišu,A.GÀR {uru}ḫa-pi-šù{ki} pi-ḫat {uru} <É>-da-ku-ru,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,152,***,,,uru; ki; ,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M2632,GHRT,Ḫarrāti,{garim}ḫar-ra-tu{4} pa-na-at BÀD-ú-gu-um; ḫa-ar-ra-tu{4} NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a; ḫa-ar-ra-ti...NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a; GARIM šá ḫar-ra-ti,,,ZadokGeographicalNamesAccording1985,154,Near URUK,,,garim; d; ki; ,Iso639-3.sil.org/code/akk,,***,,,,East of LOC-3; South of LOC-4,"Facing LOC-1; Divided by LOC-2; Borders LOC-3, LOC-4; In LOC-5",M8964,,M8552,M1022,M4874,M4029,IQ,,
M7378,CDGZ,Dūr-gizzēti,A.ŠÀ šá BÀD-gi-iz-[ze-t]I NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a,vocab.getty.edu/page/aat/300004790,,ZadokGeographicalNamesAccording1985,122,Not far from URUK,,Dur,uru,Iso639-3.sil.org/code/akk,,Gizzēti,Appellative,,,Possibly AKA Dūr-gi; See M7421,,,,,,,,IQ,,
M1639,SHRB,Ḫarrūbati,{uru}ḫar-ru-ba-ti; {garim}ḫar-ru-bat,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,154,Not far from URUK,,,uru; garim,Iso639-3.sil.org/code/sem,Possible,***,,,,,Connected to LOC-1,M7555,,,,,,IQ,,
M7421,WGZT,Nār-Gizzēti,I{7}-giz(!)-ze-ti(!); ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,370-371,Not far from URUK,Possible,Nar(u),***,Iso639-3.sil.org/code/akk,,Gizzēti,Appellative,,,,Flows in LOC-1,M7378,Possible,,,,,IQ,,
M2316,HRRI,Ḫarr[ ],KI{tì} {i7}ḫa[r-ri ...],vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,155,In or Near URUK,Possible,Ḫarru,tì; I7,Iso639-3.sil.org/code/akk,,***,,,,,,,,,,,,IQ,,
M2996,GHBT,Ḫibṭūni,É-DINGIR-AŠ {garim}ḫi-ib-ṭu-ni,,,ZadokGeographicalNamesAccording1985,159,URUK Region,,,garim,Iso639-3.sil.org/code/sem,,***,,,,,Not far from LOC-1,M4884,,,,,,IQ,,
M4015,GHDU,Ḫidu',{garim}ḫi-du-ú[' (?)],,,ZadokGeographicalNamesAccording1985,159,URUK Region,,,garim,Iso639-3.sil.org/code/sem,,***,,,,,On the border of LOC-1,M7555,,,,,,IQ,,
M1850,HLTU,Ḫiltu,{i7}ḫi-il-tu{4} NÌ.GA {d}INNIN UNU{ki} u {d}na-na-a; URU KÁ-{i7}ḫi-il-ti; KÁ-{i7}ḫi-il-ti; KÁ-ḫi-il-tu; KÁ-ḫi-il-tu{4}; ši-i-ḫu šá {md}ŠÚ-A-PAP AŠ {i7}ḫi-il-ti,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,160,Near URUK,,Ḫiltu,I7; d; ki; m; ,Iso639-3.sil.org/code/akk,,***,,,,Possibly AKA Madbūḫiya; See M1591 and M1365,In LOC-1,M4029,Possible,,,,,IQ,,
M4392,WHGB,Ḫarru-ša-Gubbā,A.ŠÀ-šú-nu šá MÚRU-tu{4} šá muḫ-ḫi {i7}ḫar-ri šá {m}gub-ba-a; {i7}ḫar-ri šá {m}gub-ba-a,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,355,In URUK,,Ḫarru,I7; m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Gubbā,Personal,,,,,,,,,,,IQ,,
M8615,SHMR,Ḫimuru,{uru}ḫi-mu-ru,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,161,Not far from URUK,Probable,,uru,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M3704,GHNT,Ḫinṭu,{garim}ḫi-in-ṭ[u]; {garim}ḫi-in-ṭu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,162,Near URUK ,Possible,,garim,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M1567,SHIR,Ḫiri[ ],A.ŠÀ šá {uru}ḫi-ri[x] NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,163,Not far from URUK,,,uru; d; ki,***,,***,,,,,Document Issued in LOC-1,M7980,,,,,,IQ,,
M2330,GHSB,Ḫišubati,{garim}ḫi-šu-ba-ti,vocab.getty.edu/page/aat/300261086,,ZadokGeographicalNamesAccording1985,163,North of URUK,Probable,,garim,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M3275,BGUP,Bīt-Guppā,É-{m}Gúp-pa-',,,ZadokGeographicalNamesAccording1985,88,URUK Region,,Bit,m,Iso639-3.sil.org/code/sem,,Guppā,Personal,,,"See ""Bīt-Guppu"" in ZadokGeographicalNamesAccording1985, possibly identical",On LOC-1,M1853,,,,,,IQ,,
M3097,SHDD,Ḫudada,É-DINGIR AŠ {garim}ḫu-da-da; ḫu-da-da; {garim}ḫu-da-du!,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,164,URUK Region,Possible,,garim,Iso639-3.sil.org/code/sem,,***,,,,Multiple Iterations,Not far from LOC-1,M4884,,,,,,IQ,,
M3297,HLHL,Ḫulḫullu,ḫu-ul-ḫu-ul-lu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,165,North of URUK,Possible,,***,Iso639-3.sil.org/code/sem,,***,,,,,North of LOC-1,M5536,,,,,,IQ,,
M8146,SHNR,Ḫanna-rabi,A.ŠÀ šá {uru}ḫa-an-na-ra-bi; A.ŠÀ šá {d}GAŠAN šá UNU{ki} šá AŠ {uru}ḫa-an-na-ra-bi,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,151,Not far from URUK,Probable,,uru; d; ki,Iso639-3.sil.org/code/sem,,Ḫanna-rabi,Personal,,,,,,,,,,,IQ,,
M3503,SBHN,Bīt-ḫanšē,{uru}É-NINNU{e},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,90,Not far from URUK,Possible,Bit,uru; e,Iso639-3.sil.org/code/akk,,Ḫanšē,Professional,Possible,,,,,,,,,,IQ,,
M3838,SHHS,Ḫuṣṣēti-ša-Ḫašdija,pa-na-ta {uru}ḫu!-uṣ!-ṣe-e-tu{4} šá {m}ḫaš-di-iá,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,172,Not far from URUK,Probably,Ḫuṣṣēti,uru; m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Ḫašdija,Personal,,,,"Mentioned with LOC-1, LOC-2",M5806,,M1667,,,,IQ,,
M6967,THRS,Til-Ḫurāṣi,{uru}DU{6}-KÙ.GI; {garim}DU{6}-KÙ.GI; {lú}E.BAR šá {garim}DU{6}-KÙ.GI ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,310,URUK Region,,Til,uru; garim; lú,Iso639-3.sil.org/code/akk,,Ḫurāṣi,Appellative,,,"See ZadokGeographicalNamesAccording1985, 384","Southern part of LOC-1, not far from LOC-2, LOC-3; On LOC-4",M5454,,M9938,M3449,M3174,,IQ,,
M8975,SBIB,Bīt-Ibā,{uru}É-{m}i-ba-a; {uru}i-ba-a,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,91,Not far from URUK,,Bit,uru; m,Iso639-3.sil.org/code/sem,,Ibā,Personal,,,"ZadokGeographicalNamesAccording1985 says possibly a sole house; BaggOrtsUndGewassernamen2020 says ""City""",In LOC-1,M4029,,,,,,IQ,,
M2892,SHAI,Ḫarru-ša-Iddinā,{uru.i7}ḫar-ri šá {m}SUM{na-a}; {uru.[i7}ḫar]-ri(!) šá {m}SUM{na-a} {kur}qaq (copy šú)-qar(!) šá {d}GAŠAN šá UNU{ki}; ši-i-ḫu šá {d}GAŠAN šá UNU{ki} šá AS {uru.i7}ḫar-ri šá {m}SUMna-a; {i7}ḫar-ri šá {m}SUM{na-a} ši-i-ḫi  šá {d}GAŠAN šá UNU{ki} ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,154,URUK Region,,Ḫarru,uru; I7; m; na-a; kur; d; ki,Iso639-3.sil.org/code/akk,,Iddinā,Personal,,,,On LOC-1,M6779,,,,,,IQ,,
M6779,WHSI,Ḫarru-ša-Iddinā,{i7}ḫar-ri šá {m}SUM{na-a}; {i7}ḫar-ru-{m}SUM{na-a},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,355,Not far from URUK,,Ḫarru,I7; m; na-a,Iso639-3.sil.org/code/akk,,Iddinā,Personal,,,,In LOC-1,M2892,,,,,,IQ,,
M7248,SAIK,Àlu-ša-ikkarē,URU šá {lú}ENGAR{meš},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,11,URUK Region,Perhaps,Àlu,lú; meš,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,Ikkarē,Appellative,,,,Not far from LOC-1,M5701,Possible,,,,,IQ,,
M4822,WNBI,Nāru-ša-bīt-ilāni,I{7} šá É-DINGIR{meš},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,391,URUK Region,Possible,Nar(u),meš,Iso639-3.sil.org/code/akk,,Ilāni,Divine,,,LOC-2 is specifically the UPPER COURSE; LEFT Bank Tributary,Tributary of LOC-1; Parallel to LOC-2,M4874,Possible,M7509,,,,IQ,,
M2966,GHBI,Ḫuṣṣēti-ša-bīt-ilāni,{garim}ḫu-uṣ-ṣe-e-ti šá É-DINGIR{meš},,,ZadokGeographicalNamesAccording1985,172,Near URUK,,Ḫuṣṣēti,garim; meš,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Ilāni,Divine,,,,,,,,,,,IQ,,
M4978,WHBI,Ḫarru-ša-Bīt-ili,ḫar-ri šá É-DINGIR,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,354,Not far from URUK,Probable,Ḫarru,***,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,Ili,Divine,,,,,,,,,,,IQ,,
M8108,WNBT,Nāru-ša-bīt-ili,I{7} šá É-DINGIR; A.ŠÀ šá KÁ-I{7} šá É-DINGIR,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,391,URUK Region,,Nar(u),***,Iso639-3.sil.org/code/akk,,Ili ,Divine,,,,Tributary of LOC-1; Not far from LOC-2 ,M1853,,M7614,,,,IQ,,
M8734,GHSX,Ḫuṣṣēti-ša-[ ],{garim}ḫu-uṣ-ṣe-e-tú {lú}[x] NÌ.GA {d}XV u {d}na-na-a,,,ZadokGeographicalNamesAccording1985,176,Not far from URUK,Possible,Ḫuṣṣēti,garim; lú; d,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,Possible,***,,,,Multiple Iterations,,,,,,,,IQ,,
M6720,SIBL,Ibulu,{uru}i-bu-lu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,178,Mentioned in URUK Text,,,uru,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M3404,GIMR,Imērē,{garim}ANŠE{meš},,,ZadokGeographicalNamesAccording1985,180,Not far from URUK,Possible,,garim; meš,Iso639-3.sil.org/code/akk,,***,,,,,,,,,,,,IQ,,
M3601,GITN,Imṭūnu,{garim}im-ṭu-nu NÌ.GA {d}INNIN UNU{ki} u {d}na-na-a; im-ṭu-nu,,,ZadokGeographicalNamesAccording1985,180,Not far from URUK,,,garim; d; ki,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M4089,SIPL,Ipaltiru,PN: {lú.uru}i-pal-ti-ra-a[-a(?)],vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,181,Mentioned in URUK Text,,,"lú, uru",***,,***,,,,"""Location Unknown""; Non-Semitic Name",,,,,,,,IQ,,
M3333,SJDQ,Jādaqu,{lú}RIG{7}{meš} šá {uru}ia-a-da-qu; {uru}ia-daq-qu; {uru}ia-daq-qa,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,185,Not far from URUK,Possible,,lú; meš; uru,Iso639-3.sil.org/code/sem,,***,,,,Multiple Iterations; one is a tribal name,,,,,,,,IQ,,
M6778,SKBL,Kabaltu,{uru}ka-bal-tú,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,190,Not far from URUK,Possible,,uru,Iso639-3.sil.org/code/sem,,***,,,,"Marked with ""?""",,,,,,,,IQ,,
M5418,SKBU,Kalbu,{uru}UR.GI{7},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,191,Location Unknown,,,uru,Iso639-3.sil.org/code/akk,,***,,,,"In ZadokNewDocumentsUruk2020, ""Ahhēšâ""",,,,,,,,IQ,,
M5619,SKHL,Kaḫillīni,{uru}ka-ḫi-il-li-ni,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,191,Not far from URUK,Possible,,uru,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M4897,SKKB,Kakkabtu,{uru}kak-kab-ti; kak-kab-tú,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,191,URUK Region,,,uru,Iso639-3.sil.org/code/akk,,***,,,,,Not far from LOC-1 ,M7509,Probable,,,,,IQ,,
M4314,SKSQ,Kapri-Sūqāja,{uru}kap-ri-su-qa-a-a,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,194,Not far from URUK,Perhaps,Kapri,uru,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M8060,SKSP,Kapri-šāpiri,{uru}kap-ri-šá-pi-ri; {uru}ka-par-šá-pi-ri; {garim}kap-ri-šá-pi-i-[r]i,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,194,Not far from URUK,,Kapru,uru; garim,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,***,,,,,In LOC-1,M4029,,,,,,IQ,,
M2323,CDIL,Dūr-Illil,{uru}BÀD-{d}L,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,"496, 497",***,,Dur,uru; d,Iso639-3.sil.org/code/akk,Possible,Illil,Divine,,,,In LOC-1; near LOC-2,M2668,,M9428,,,,IQ,,
M9899,WIAA,Nāru-ša-Ina-Abul-Adad,I{7} šá AŠ KÁ.GÁL {d}IŠKUR,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,391,In URUK,,Nar(u),d,Iso639-3.sil.org/code/akk,,Ina-Abul-Adad,Personal,Possible,,,,,,,,,,IQ,,
M6517,WNIN,Nār-Innin,I{7}-{d}in-nin; ši-i-ḫi šá I{7}-{d}in-nin; GARIM-I{7}-{d}in-nin; I{7}-{d}INNIN; I{7}-{d}INNIN{na},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,372-373,Within URUK,,Nar(u),d; na,Iso639-3.sil.org/code/akk,,Innin,Divine,,,See ZadokGeographicalNamesAccording1985 for urban pathway; LEFT Bank Tributary,Tributary Of LOC-1,M1853,,,,,,IQ,,
M7131,KRTI,Kirâti,ki-ra-ti; šá ki-ra(?)-ti(?),,,ZadokGeographicalNamesAccording1985,200,Near URUK,Possible,,***,Iso639-3.sil.org/code/akk,,***,,,,,,,,,,,,IQ,,
M7527,SKLB,Kullabi,{lú}É.BAR {uru}ku-ul-la-bi; {uru}kul-lab-bu; {d}šar-rat kul-la-bu; kul-l[ab{ki}]; kul-ab{ki}; {d}GAŠAN šá ku-lab? (copy TÚ); {d}šar-rat kul-lab{x} UNU{ki},vocab.getty.edu/page/aat/300008347,vocab.getty.edu/page/aat/300008375,ZadokGeographicalNamesAccording1985,202,Near URUK,,,lú; uru; d; ki; ,Iso639-3.sil.org/code/sux,,***,,,,See AdamsUrukCountrysideNatural1972,"In LOC-1; Mentioned with LOC-2, LOC-3",M9539,,M1843,M5688,,,IQ,,
M8779,SKRB,Kurbat,{uru}kur-bat ša GU {i7}UD.KIB.NUN{ki}; {uru}kur-bat; A.ŠÀ šá {uru}kur-bat; {[uru]}kur-bat ši-i-ḫu šá GAŠAN šá UNU{ki}; {uru}kur-bat NÌ.GA šá {d}GAŠAN šá UNU{ki} u {d}na-na-a; KÁ{meš} šá {uru}kur-bat NÌ.GA {d}GAŠAN UNU{ki} u {d}na-na-a ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,203,URUK Region,,,uru; i7; ki; uru; d; meš,Iso639-3.sil.org/code/sem,Possible,***,,,,,"On LOC-1, LOC-2",M3174,,M5536,,,,IQ,,
M6063,GKSJ,Kūṣāja,{garim}ku-ṣa-a-a; ku-ṣa-a-a,,,ZadokGeographicalNamesAccording1985,204,East of URUK,,,garim; ,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,***,,,,,In LOC-1; L. Bank of LOC-2,M4029,Possible,M1853,,,,IQ,,
M5401,GBIQ,Bīt-Iqīšā,{garim}É-{m}BA{šá-a},,,ZadokGeographicalNamesAccording1985,93,Near URUK,,Bit,garim; m; šá-a,Iso639-3.sil.org/code/akk,,Iqīšā,Personal,,,,In LOC-1,M4029,Possible,,,,,IQ,,
