site_ID,label,title,variant _Akkadian,type,sub_type,title_source,t-s_pages,URUK_relations,URUK_probability,place_terms,determinatives,language,lanuage_prop,proper_nouns,p-n_type,p-n_type_prop,variant_modern,notes,LOC_details,LOC-1,LOC-1_probability,LOC-2,LOC-3,LOC-4,LOC-5,ccode,CDLI,Pleiades
M4877,LNES,Bāb-Nāri-ešši, --none--,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,"500, 505",***,,Bab,***,Iso639-3.sil.org/code/akk,Possible,Eššu,Appellative,,,,On LOC-1,M8814,,,,,,IQ,,
M8227,WNRS,Nār-Raqqat-Šamaš,{lú}ERÍN{me} šá dul-lu šá {I7}-raq-qát-{d}UTU; {I7}-raq-qát-{d}UTU,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,380,Not far from URUK,Possible,Nar(u),lú; me; d,Iso639-3.sil.org/code/sem,,Šamaš,Divine,,,,Not far from LOC-1 ,M4746,,,,,,IQ,,
M2387,GRQS,Raqqat-Šamaš,{garim}raq-qat-{d}UTU; {lú}ERÍN{me} šá dul-lu šá  {garim}raq(!)-qat-{d}UTU; {lú}ERÍN{me} šá {garim}raq-qát-{d}UTU; {garim}raq-<qat>-{d}UTU: raq-qat-{d}UTU; raq-qát-{d}UTU,,,ZadokGeographicalNamesAccording1985,258-259,Not far from URUK,Possible,,garim; d; lú; me; ,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Šamaš,Divine,,,Multiple Iterations; Closer to LOC-1 than URUK,Not far from LOC-1 ,M4746,Possible,,,,,IQ,,
M7272,WSNG,Nār-Šangî,I{7}-{lú}É.BAR; ÍD {lú}É.BAR,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985; ErmidoroNewDataBabylonian2016,383; 158,URUK Region,,Nar(u),lú; lu,Iso639-3.sil.org/code/akk,,Šangî,Appellative,,,"Spelled ""Nār-sangê"" in Ermidoro, listed as ""In Uruk""","Not far from LOC-1; Near LOC-1, LOC-2",M1853,,M8427,,,,IQ,,
M7394,SPTB,Patibiri ,{uru}pa-ti-bi-ri,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,458,***,,,uru,Iso639-3.sil.org/code/sux,,***,,,Tall al-Madā’in; تل المدائن,70 km East of LOC-1,East of LOC-1 ,M7294,,,,,,IQ,,
M8524,WSPP,Nār-Šapputtu,GARIM šá I{7}-šap-pu-ut-ti,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,384,Not far from URUK,,Nar(u),***,Iso639-3.sil.org/code/sem,,Šapputtu,Personal,,,Multiple Iterations,In LOC-1,M7555,,,,,,IQ,,
M5513,SSAD,Sadiri,{uru}sa-di-ri,vocab.getty.edu/page/aat/300008347,,BaggOrtsUndGewassernames2020,494,North of URUK,,,uru,Iso639-3.sil.org/code/akk,,***,,,,,In LOC-1,M4029,,,,,,IQ,,
M2903,SSAP,Sapīja,{uru}sa-pi-a; {uru}sa-pi-e; {uru}sa-pi-ia; {uru}šá-pi-ia,vocab.getty.edu/page/aat/300008347,,BaggOrtsUndGewassernames2020,504,East of URUK,,,uru,Iso639-3.sil.org/code/akk,,***,,,,,In LOC-1; North of LOC-2; South of LOC-3,M4029,,M5688,M4628,,,IQ,,
M8033,SBSR,Bīt-Šapru',{uru}É-šap-ru-',vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,105,Not far from URUK,Perhaps,Bit,uru,Iso639-3.sil.org/code/sem,,Šapru',Personal,,,,,,,,,,,IQ,,
M5380,CRHW,Gerru-Šarri,***,vocab.getty.edu/page/aat/300004790,vocab.getty.edu/page/aat/300008217,ZadokGeographicalNamesAccording1985,"504, 514",***,,,***,***,,***,,,,Alternative Title: Royal Highway,Parallel to LOC-1; Near LOC-2,M1853,,M3449,,,,IQ,,
M4356,WSEA,Marratu šaplītu,{íd}mar-ra-ti KI.TA; {íd}mar-ra-ti šap-li-ti,vocab.getty.edu/page/aat/300266059,vocab.getty.edu/page/aat/300008694,ZadokGeographicalNamesAccording1985,754,***,,,íd,Iso639-3.sil.org/code/akk,,***,,,,Alternative Title: Persian Gulf,"Near LOC-1, LOC-2, LOC-3, LOC-4",M2668,,,,,,"IQ, KW, IR",,
M5732,SBSP,Bīt-ṣapṣap,{lú}AB.BA{meš} {uru}É-ṣap-ṣap,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,104,Mentioned in URUK Text,,Bit,lú; meš; uru,Iso639-3.sil.org/code/sem,,Ṣapṣap,Appellative,,,,,,,,,,,IQ,,
M4452,SKIS,Kiš,Kiš,vocab.getty.edu/page/aat/300008347,vocab.getty.edu/page/aat/300008389,ZadokGeographicalNamesAccording1985,,"32.540 N, 44.604 E",,,***,Iso639-3.sil.org/code/sux,,***,,,Tell al-Uhaymir;  تل الأحيمر,,North of LOC-1,M8809,,,,,,IQ,,
M7939,WSQL,Nār-Šaqillati,I{7}-šá-qil-la-at,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,384,URUK Region,,Nar(u),***,Iso639-3.sil.org/code/sem,,Šaqillatu,Personal,,,"LOC-2 Connection is ""Presumable""",Not far from LOC-1; Near LOC-2,M8073,,M6535,,,,IQ,,
M6535,GSQL,Šaqillatu,{uru}šá-qil-lat; {garim}šá-qil-la-tu{4}; {garim}šá-qil-lat; {garim}šá-qí-il-li-ti šá {d}INNIN UNU{ki},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,288,URUK Region,,,uru; garim,Iso639-3.sil.org/code/sem,,Šaqillatu,Personal,,,LEFT Bank of LOC-4,"From LOC-1 to LOC-2; North of LOC-3, Banks of LOC-4",M5380,Possible,M8291,M2825,M1853,,IQ,,
M1853,WNSR,Nār-Šarri,I{7}-LUGAL šá qer-bi UNU{ki}; I{7}LUGAL šá NAM UNU{ki}; I{7}LUGAL; É NÌ.GA šá AŠ UGU I{7} LUGAL; KÁ-I{7}-LUGAL; I{7}-LUGAL e-lu-ú; I{7}-LUGAL e-le-nu-ú; I{7}-LUGAL AN{ú}; I{7}-LUGAL UGU{ú}; I{7}-LUGAL šap-lu ,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,384-385,Flows to URUK,,Nar(u),ki,Iso639-3.sil.org/code/akk,,Šarri,Professional,,,Alternate Title: Royal Canal; Multiple Iterations,"Near LOC-1, LOC-2, LOC-3, LOC-4",M8809,,M4838,M5794,M4628,,IQ,,
M6048,BSRN,Bīt-Šarru-rimanni,É-{m}LUGAL-ri-ma-ni,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,106,Near URUK,Possible,Bit,m,Iso639-3.sil.org/code/akk,,Šarru-rimanni,Personal,,,,,,,,,,,IQ,,
